"State","Quality of patient care star rating","How often the home health team began their patients’ care in a timely manner","How often the home health team taught patients (or their family caregivers) about their drugs","How often the home health team checked patients’ risk of falling","How often the home health team checked patients for depression","How often the home health team determined whether patients received a flu shot for the currnet flu season","How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot)","With diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care","How often patients got better at walking or moving around","How often patients got better at getting in and out of bed","How often patients got better at bathing","How often patients had less pain when moving around","How often patients’ breathing improved","How often patients’ wounds improved or healed after an operation","How often patients got better at taking their drugs correctly by mouth","How often home health patients had to be admitted to the hospital","How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted"
"OK","3.0","93.1","97.7","99.6","98.3","79.1","84.0","97.7","72.4","66.9","76.5","70.6","66.8","91.4","64.5","16.7","14.5"
"OR","3.0","84.7","96.2","99.5","97.3","78.7","85.5","95.3","65.4","64.3","69.1","66.0","69.7","89.8","53.7","15.8","15.8"
"PA","3.5","93.6","98.0","99.5","98.3","78.4","82.5","96.9","73.3","71.5","74.9","74.7","75.6","90.8","62.4","17.6","12.0"
"PR","3.5","91.6","94.9","99.0","97.6","23.3","20.3","95.1","74.0","68.7","76.8","88.3","83.7","93.7","62.1","18.7","10.7"
"RI","3.5","96.0","97.5","99.3","97.8","79.8","82.6","97.2","72.3","71.2","73.4","76.2","72.7","94.3","60.2","16.5","11.9"
"SC","3.5","92.8","98.3","99.6","98.1","80.7","84.5","97.2","73.2","70.5","76.2","75.6","76.4","90.3","63.5","17.0","13.3"
"SD","3.5","95.5","95.9","99.6","98.8","83.2","89.3","93.9","68.1","68.1","72.5","71.7","71.5","78.8","57.7","16.9","11.7"
"TN","3.5","94.2","97.3","99.6","97.6","80.2","83.5","97.1","73.7","71.0","77.7","76.2","75.2","90.0","63.1","17.8","13.1"
"TX","3.0","93.1","96.7","99.4","97.8","73.6","79.2","96.6","66.1","60.0","69.9","66.6","60.2","88.3","55.3","16.3","12.6"
"UT","3.5","95.9","96.8","99.5","98.4","83.6","86.8","94.0","75.2","71.0","79.7","71.4","76.9","92.4","66.2","14.6","13.1"
"VA","3.5","93.7","97.1","99.7","98.2","79.8","84.0","96.3","70.5","68.7","72.1","72.7","74.4","90.1","60.5","16.9","13.8"
"VI","3.5","94.3","97.9","100.0","100.0","50.0","58.4","98.3","77.4","51.4","70.6","81.1","99.5","100.0","57.4","16.1","17.8"
"VT","3.5","94.9","98.5","99.7","98.7","79.1","87.0","97.8","68.1","66.3","71.8","70.8","65.3","91.5","57.2","17.5","13.9"
"WA","3.5","91.9","98.2","99.5","97.2","80.8","87.1","97.0","70.2","69.5","73.6","70.7","73.9","89.1","58.8","15.1","15.0"
"WI","3.0","94.4","97.9","99.5","98.6","81.1","89.5","97.7","69.9","69.0","71.0","71.2","71.6","88.9","57.8","16.7","13.8"
"WV","3.5","95.5","97.8","99.7","98.8","77.3","81.0","97.9","76.3","72.0","78.9","78.5","79.4","92.9","67.3","17.4","14.8"
"WY","3.0","91.8","92.1","98.8","97.3","72.8","82.4","93.2","66.1","64.5","70.7","63.2","70.8","87.2","55.8","17.5","14.0"
